Feature_1,Feature_2,Feature_3,Feature_4,Feature_5
-1.270069339302997,-1.1713184642453438,0.8553618742211662,0.6799778626815721,0.9060480666456018
-1.11294578919267,-1.0899826188839106,0.006118848670834239,0.8153270515150258,1.3814825078907207
-1.1089618867666886,-1.0866410491713683,-0.008274861261907861,0.8183832443359343,1.3854945528640308
-1.1429718964382887,-1.1123404852578231,0.10352669489298164,0.8204468693798772,1.3313388174232534
-1.1442574204295826,-1.1051209059347393,0.09319876059542813,0.8171859977819405,1.338993567986953
-1.1216360984538423,-1.084126579003393,0.015978804938090056,0.8044009751575772,1.385382897361568
-1.1567495736496056,-1.1204402844374215,0.11853468509816546,0.9024131391418505,1.256242033847011
-1.1259493535830951,-1.0894849306630687,0.0013131892523512705,0.8901587230352545,1.323962371958558
-1.115784845706072,-1.0872119314213218,0.0035133569915954004,0.8221463274835444,1.3773370926522543
-1.1319313869475927,-1.099155068749806,0.0431304823069051,0.8540263657037338,1.3339296076867604
-1.1090697674837857,-1.0783789370239636,-0.028237830125881467,0.8324959102313355,1.3831906244022942
-1.0621158568800015,-1.0278817726781344,-0.18678021752107915,0.8312867940878896,1.4454910529913263
-1.11294578919267,-1.0899826188839106,0.006118848670834239,0.8153270515150258,1.3814825078907207
-1.1089618867666886,-1.0866410491713683,-0.008274861261907861,0.8183832443359343,1.3854945528640308
-1.1429718964382887,-1.1123404852578231,0.10352669489298164,0.8204468693798772,1.3313388174232534
-1.1442574204295826,-1.1051209059347393,0.09319876059542813,0.8171859977819405,1.338993567986953
-1.1216360984538423,-1.084126579003393,0.015978804938090056,0.8044009751575772,1.385382897361568
-1.1567495736496056,-1.1204402844374215,0.11853468509816546,0.9024131391418505,1.256242033847011
-1.1259493535830951,-1.0894849306630687,0.0013131892523512705,0.8901587230352545,1.323962371958558
-1.115784845706072,-1.0872119314213218,0.0035133569915954004,0.8221463274835444,1.3773370926522543
-1.1319313869475927,-1.099155068749806,0.0431304823069051,0.8540263657037338,1.3339296076867604
-1.1090697674837857,-1.0783789370239636,-0.028237830125881467,0.8324959102313355,1.3831906244022942
-1.0621158568800015,-1.0278817726781344,-0.18678021752107915,0.8312867940878896,1.4454910529913263
-1.11294578919267,-1.0899826188839106,0.006118848670834239,0.8153270515150258,1.3814825078907207
-1.1089618867666886,-1.0866410491713683,-0.008274861261907861,0.8183832443359343,1.3854945528640308
-1.1429718964382887,-1.1123404852578231,0.10352669489298164,0.8204468693798772,1.3313388174232534
-1.1442574204295826,-1.1051209059347393,0.09319876059542813,0.8171859977819405,1.338993567986953
-1.1216360984538423,-1.084126579003393,0.015978804938090056,0.8044009751575772,1.385382897361568
-1.1567495736496056,-1.1204402844374215,0.11853468509816546,0.9024131391418505,1.256242033847011
-1.1259493535830951,-1.0894849306630687,0.0013131892523512705,0.8901587230352545,1.323962371958558
-1.115784845706072,-1.0872119314213218,0.0035133569915954004,0.8221463274835444,1.3773370926522543
-1.1319313869475927,-1.099155068749806,0.0431304823069051,0.8540263657037338,1.3339296076867604
-1.1090697674837857,-1.0783789370239636,-0.028237830125881467,0.8324959102313355,1.3831906244022942
-1.0621158568800015,-1.0278817726781344,-0.18678021752107915,0.8312867940878896,1.4454910529913263
-0.922235139622684,-0.8992131979607091,-0.3762387746954457,0.47257363248995105,1.7251134797888878
-0.8016624727821875,-0.7796996182846275,-0.5791378699581797,0.34536050863072,1.8151394523942745
-0.8301756789079379,-0.8012231288340286,-0.5388576757038083,0.3697697150605458,1.800486768385229
-0.7764481177157896,-0.7491917976428382,-0.6152076950050317,0.30696286399132,1.8338847463723402
