Nombre,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Mean_B,Mean_G,Mean_R
berenjena,0.710166928729894,1.9529870269806655,3.2190615183636,4.110700986986996,7.798967729887158,5.145092594211323,8.27107397685447,69.08527798986603,61.20981467342264,60.324994794197266
berenjena,0.6506130701336161,1.640854709220302,3.0062357984714065,3.61032830442711,6.932008774675698,4.486642630584216,7.530125503684351,44.302943523778225,41.31309562931318,43.3606168724473
berenjena,0.5518730964016714,1.2870857851894735,2.7350606037412506,3.0442015161094953,5.9339244887590965,3.6890783101803364,7.620567869356169,47.22861044281162,43.789115026984845,45.36958189739255
berenjena,0.5538432374965688,1.2919449842914361,2.773391210635566,3.078517560265862,6.004635769353021,3.7266822634351975,7.565742729264755,47.75375195358497,44.709327966773,45.859277655269864
berenjena,0.54997789288062,1.2801309597765596,2.7717162068442054,3.0742456087366774,5.997347412101007,3.7160183066899912,7.62445891873609,39.06018273098631,36.10864074339705,38.570187200515555
berenjena,0.671349518253449,1.7330782208482753,3.102728225538355,3.6905072755232804,7.0872841150041905,4.559906911592891,-8.654761715630752,44.48508771929825,42.20818713450292,41.888943713450296
berenjena,0.668326363774732,1.719103387365018,3.130311654209425,3.80438991476069,7.2813315786848065,4.702605245315845,-7.953966430911572,40.18873469387755,37.26565306122449,39.28538775510204
berenjena,0.6850015932633815,1.805231475512248,3.1492231328913425,3.9365691297073293,7.518547691116656,4.9413773971973205,7.871099845315632,40.10068965517242,37.844399274047184,40.443978221415605
berenjena,0.5676557564999685,1.33293932714058,2.944486391628565,3.2968473882394838,6.418330127138365,3.9691567267760437,7.630494349335019,45.67352394761883,43.01048227528811,45.19263824066942
berenjena,0.6711450066911345,1.7305732030810794,3.197947343070355,3.9646224214208203,7.590706929749747,4.929958689157848,7.9106621078241846,41.6238987645311,39.05115206172132,39.47237137048428
berenjena,0.6270639488085884,1.53891467183381,3.0583924799212716,3.569857524663072,6.88594435188185,4.349370736510397,7.907009734578093,69.08003974611158,62.5113154746213,62.40184129945451
berenjena,0.6256216778280596,1.5337740144752419,3.0510834091795207,3.558414403873872,6.865273234704582,4.336290504183952,7.870461138775569,64.64402569289187,57.70437205010824,57.01389332481636
