Dim1,Dim2,Dim3,Etiqueta
12.175295,6.084739,6.521142,zanahoria
12.981069,5.7256126,6.9494514,zanahoria
11.899139,5.176315,5.8423753,zanahoria
12.091116,6.168524,6.478373,zanahoria
12.240662,5.588597,6.532973,zanahoria
12.004187,6.1812925,6.421781,zanahoria
11.935527,6.132999,6.419438,zanahoria
11.998546,6.29261,6.5467405,zanahoria
12.489433,5.538357,7.012306,zanahoria
11.9089775,5.8229556,6.3585906,zanahoria
12.009427,5.7160053,6.3587976,zanahoria
12.046307,5.574374,6.3016667,zanahoria
11.18404,3.4757202,7.046255,zanahoria
12.693848,5.875181,6.87105,zanahoria
11.5097885,3.9107368,5.5988793,zanahoria
11.129413,3.4897454,6.9446173,zanahoria
11.315918,4.10529,6.208794,zanahoria
11.158819,3.5714912,6.843212,zanahoria
10.9175825,3.214157,6.77502,zanahoria
10.970118,3.3237307,6.7972746,zanahoria
10.988292,3.3511732,6.678071,zanahoria
11.105064,3.3838258,6.9514284,zanahoria
11.017559,3.3420067,6.818609,zanahoria
10.943406,3.2635138,6.655288,zanahoria
10.888088,3.1935089,6.7215757,zanahoria
10.942938,3.273889,6.751716,zanahoria
11.491303,5.186716,7.1492834,zanahoria
11.429079,4.9651546,7.328016,zanahoria
12.31716,5.4809074,3.9438102,zanahoria
12.362932,5.693682,3.7496436,zanahoria
12.480944,5.419172,7.337785,zanahoria
11.405221,4.7359815,7.8018146,zanahoria
12.064365,5.472737,5.904056,zanahoria
11.867525,5.360029,5.8520675,zanahoria
12.686088,8.20041,3.6203272,zanahoria
11.486129,4.988268,7.869064,zanahoria
11.473526,4.9442596,7.911229,zanahoria
11.422825,4.200439,5.91876,zanahoria
12.480662,7.942134,3.5875936,zanahoria
12.468777,5.2440825,7.346004,zanahoria
11.650206,5.057736,6.0471106,zanahoria
