Hu2,Hu3,Mean_B,Mean_G,Mean_R
-0.014065459820546017,0.26286176390953225,0.4586261943676407,-0.6674852945662614,-1.273677573445289
-0.3662691860356423,-0.2908327663400121,-0.6000006851079485,-1.2533951855796108,-1.5341608507762148
-0.8150350311104065,-0.917288440369917,-0.4750249833588061,-1.1804824479458027,-1.5033137548110855
-0.7516019902960611,-0.8793155321528346,-0.45259251560263825,-1.153384419267553,-1.4957946134375966
-0.7543739418113219,-0.8840427210615088,-0.823955676333859,-1.4066536996205872,-1.607716558301939
-0.20658457469387065,-0.20210958203293855,-0.5922200322569506,-1.2270369219337278,-1.5567579804430807
-0.16093696046444234,-0.07609112292453322,-0.7757473267759732,-1.3725825062978834,-1.5967348538582569
-0.12964049280356651,0.07017367305555841,-0.7795083463322732,-1.3555398406338817,-1.5789450213550096
-0.4684578274866724,-0.6377195462951325,-0.5414536067789812,-1.2034112850909964,-1.5060306751614077
-0.049007153982354064,0.10121644321197244,-0.7144414290716844,-1.3200039116830462,-1.5938637727513274
-0.2799554756299563,-0.3356162850477905,0.4584024323307231,-0.6291592675015201,-1.2417881763393044
-0.29205120330666084,-0.3482788336056976,0.2689092382615376,-0.7707120376703085,-1.3245186102518194
-0.2947496159604619,-0.3539588749113085,0.35485698188651577,-0.7407829179920856,-1.3068369708942462
-0.1650693709085339,-0.2511529391449059,0.20906237283052526,-0.8286098745461716,-1.3944948030586266
-0.1436219961619246,-0.21885862114500282,0.37349165563769093,-0.7145762294476596,-1.3309216527576662
0.06518070550981127,0.2890631663577867,0.17506735208363172,-0.8366500449437385,-1.3713857190562482
-0.14862758333774884,-0.07461662974958314,-0.1672314782081119,-0.963827575168192,-1.315229622092208
-0.29307523258704166,-0.26301680701585234,-0.8692106728689519,-1.4196642335154184,-1.6109486789472574
-0.35536788800228747,0.14539093936234446,0.30174719111798404,-0.7153478544717903,-0.2255117444746125
0.04844693463093461,0.42383579463451265,1.6576548013273318,-0.36932887176119417,0.20200195901377105
0.014170021493769261,0.498197835549973,1.5160795950672035,-0.38653461994602034,0.2231318114179312
0.7228412314906048,0.722243178046636,1.3031818145320402,-0.673163723719808,0.026579713514835766
1.2853561889699907,1.3865002909846114,1.1626111782308786,-0.7983276001532625,-0.03039569430080577
3.283887880750046,2.2221490919875224,0.8177315579530091,-0.7507634014804947,0.0524499141352973
0.15751020352787995,0.545728192193103,0.5839062829116783,-0.6915876195797703,-0.3001220720447107
-0.21057928222253378,-0.098329724243895,0.7010315886025821,-0.6007637083636099,-0.19772286153436797
